date,ln_WTI,ln_GDP,ln_CPI,Interest,ln_FX
2006-01-01,4.181821108781366,26.12485386903324,4.506293701694955,6.27380728455047,3.6344756223205694
2006-02-01,4.121165844685163,26.140211762222428,4.508159910038464,6.254870707668746,3.627048366853135
2006-03-01,4.138125652557577,26.15533735369646,4.510022642134786,6.2359341307870215,3.619565534218704
2006-04-01,4.240516124971838,26.17023756640732,4.5118819109104855,6.216997553905298,3.6120262863893564
2006-05-01,4.260481559822783,26.184919018373076,4.513737729220155,6.198060977023573,3.60442976623861
2006-06-01,4.2619882166446,26.19938804032758,4.515590109846957,6.179124400141849,3.5967750969566414
2006-07-01,4.309604487681627,26.213650692111337,4.517439065503144,6.1601878232601255,3.589061381442945
2006-08-01,4.291048904069487,26.22771277790986,4.519284608830586,6.141251246378401,3.581287701675386
2006-09-01,4.155721841897004,26.241579860435365,4.5211267524012895,6.122314669496677,3.573453118054543
2006-10-01,4.075725325352273,26.25525727413853,4.522965508717911,6.103378092614952,3.5655566687221523
2006-11-01,4.078934772272304,26.2687501375289,4.524800890214263,6.084441515733229,3.55759736885244
2006-12-01,4.126472875973622,26.282063364675068,4.526632909255823,6.065504938851504,3.549574209915013
2007-01-01,3.998314281937807,26.295201675949354,4.528461578140231,6.04656836196978,3.541486158907951
2007-02-01,4.08225422388721,26.304174784613764,4.533008300694337,6.027845014544084,3.5385731149314195
2007-03-01,4.101681219377919,26.31306809213274,4.537534444094868,6.0091216671183885,3.5356515603318233
2007-04-01,4.158523643769001,26.321883005405095,4.542040193791488,5.990398319692693,3.532721445234882
2007-05-01,4.150323829964002,26.33062089444896,4.54652573273832,5.971674972266997,3.5297827193266116
2007-06-01,4.2119653272177215,26.33928309367966,4.550991241438525,5.952951624841301,3.526835331848145
2007-07-01,4.305653277960287,26.34787090313278,4.555436897987889,5.934228277415605,3.5238792315904677
2007-08-01,4.281599581625964,26.35638558963508,4.559862878117438,5.915504929989909,3.5209143668890817
2007-09-01,4.380960276842727,26.36482838792608,4.564269355235126,5.896781582564214,3.5179406856185853
2007-10-01,4.452003804189247,26.37320050173259,4.568656500466597,5.878058235138518,3.514958135187178
2007-11-01,4.551478026648428,26.381503104798696,4.573024482695061,5.859334887712822,3.511966662531076
2007-12-01,4.518380602582265,26.38973734187333,4.577373468600308,5.840611540287126,3.508966214108849
2008-01-01,4.532281982434602,26.397904329657496,4.5817036226968675,5.82188819286143,3.505956735895671
2008-02-01,4.55793181716122,26.395134276875996,4.580998610824126,5.734730638510524,3.5083864274817738
2008-03-01,4.65827483887487,26.39235652958295,4.580293101558956,5.647573084159618,3.510810229972469
2008-04-01,4.723668117560636,26.38957104491241,4.579587094199032,5.560415529808713,3.5132281718467646
2008-05-01,4.831489641157475,26.386777779639228,4.578880588040539,5.473257975457807,3.5156402813775856
2008-06-01,4.8969438763431254,26.383976690175015,4.57817358237817,5.386100421106901,3.5180465866337562
2008-07-01,4.893134036918406,26.381167732564077,4.577466076505123,5.298942866755995,3.5204471154819617
2008-08-01,4.759316784174366,26.378350862479255,4.576758069713091,5.211785312405089,3.522841895588682
2008-09-01,4.645489196890435,26.37552603521775,4.576049561292264,5.124627758054183,3.525230954422106
2008-10-01,4.338710590566975,26.372693205696848,4.575340550531322,5.037470203703277,3.527614319254024
2008-11-01,4.048465944857377,26.36985232844962,4.574631036717428,4.950312649352372,3.5299920171616908
2008-12-01,3.716538836653295,26.367003357620526,4.5739210191362325,4.863155095001466,3.532364075029678
2009-01-01,3.730740908208854,26.36414624696099,4.573210497071858,4.77599754065056,3.534730519551691
2009-02-01,3.6657993565116516,26.381563175170772,4.575913165258765,4.739167738837825,3.5283908649170597
2009-03-01,3.869931265728625,26.39868193967989,4.578608548714134,4.70233793702509,3.522010762500237
2009-04-01,3.9049312516143897,26.415512577545037,4.5812966866027365,4.665508135212355,3.5155896928616364
2009-05-01,4.078020378121674,26.432064627386023,4.5839776177743525,4.62867833339962,3.509127126490827
2009-06-01,4.243352168963392,26.448347161851995,4.586651380767134,4.591848531586885,3.502622523544506
2009-07-01,4.161259518762568,26.464368817486612,4.5893180138109315,4.55501872977415,3.496075333575888
2009-08-01,4.263310127754448,26.480137822238202,4.591977554830573,4.518188927961415,3.4894849952551796
2009-09-01,4.240003506792197,26.49566202083436,4.594630041449101,4.48135912614868,3.48285093608078
2009-10-01,4.326982294764495,26.510948898216817,4.597275510990966,4.444529324335945,3.4761725720808414
2009-11-01,4.356580613342406,26.52600560121192,4.599914000485178,4.40769952252321,3.469449307504792
2009-12-01,4.310396359722554,26.540838958593692,4.602545546668415,4.370869720710475,3.462680534504422
2010-01-01,4.360876916247199,26.55545549968051,4.605170185988092,4.33403991889774,3.4558656328041026
2010-02-01,4.335817347700194,26.562688527176416,4.608339151659363,4.395167226770618,3.4527205493953224
2010-03-01,4.396958081975203,26.569869613453015,4.6114981067021965,4.456294534643496,3.449565543220763
2010-04-01,4.434297130016445,26.57699949918656,4.614647114163783,4.517421842516375,3.4464005514693756
2010-05-01,4.300592855742539,26.58407890932246,4.617786236497575,4.578549150389253,3.443225510731829
2010-06-01,4.321956901491906,26.59110855351761,4.620915535570716,4.639676458262131,3.440040356992883
2010-07-01,4.334928787727534,26.598089126567277,4.624035072671357,4.70080376613501,3.436845025623647
2010-08-01,4.3385852086485865,26.605021308817218,4.627144908515862,4.761931074007888,3.433639451373711
2010-09-01,4.32070831992718,26.61190576656158,4.630245103255893,4.823058381880767,3.4304235683631497
2010-10-01,4.405411772682701,26.618743152427225,4.633335716485397,4.884185689753645,3.427197310074399
2010-11-01,4.433822481332312,26.625534105744975,4.636416807247473,4.945312997626523,3.423960609344002
2010-12-01,4.490274455324792,26.63227925290837,4.639488434041147,5.006440305499401,3.4207133983542173
2011-01-01,4.490550267398086,26.638979207720375,4.642550654828032,5.06756761337228,3.4174556086244934
2011-02-01,4.483888273236065,26.644970357025834,4.645059920239489,5.077546487803519,3.419070475220674
2011-03-01,4.633335024289212,26.65092582612067,4.647562904994588,5.08752536223476,3.420682738226617
2011-04-01,4.696221308872032,26.656846037476154,4.650059640455637,5.0975042366659995,3.4222924060241566
2011-05-01,4.61413464677832,26.662731406104285,4.652550157750616,5.10748311109724,3.423899486954717
2011-06-01,4.567095361508088,26.668582339732385,4.655034487775511,5.11746198552848,3.42550398931957
2011-07-01,4.577834959768032,26.67439923897258,4.657512661196612,5.127440859959719,3.4271059213800923
2011-08-01,4.45821241563113,26.680182497486413,4.659984708452779,5.13741973439096,3.4287052913580234
2011-09-01,4.44869458339894,26.6859325021447,4.662450659757691,5.1473986088222,3.4303021074357165
2011-10-01,4.458088903428387,26.69164963318283,4.664910545102063,5.15737748325344,3.431896377756389
2011-11-01,4.5763640052178465,26.697334264351642,4.667364394255827,5.16735635768468,3.4334881104243737
2011-12-01,4.590694488233315,26.702986763064054,4.669812236770303,5.1773352321159205,3.4350773135053654
2012-01-01,4.607901452681105,26.708607490537542,4.672254101980325,5.18731410654716,3.436663995026665
2012-02-01,4.626970815946944,26.713370132802183,4.674073184932987,5.17674073104426,3.43570608925915
