date,country_code,country_name,GDP_usd,CPI_index,FX_local_per_USD,Interest_rate_percent,WTI_usd_per_barrel
2006-01-01,THA,Thailand,221758296021.621,90.5854588383715,37.8819832215363,6.27380728455047,65.485
2006-02-01,THA,Thailand,225190323141.07367,90.75466801813862,37.60166633571672,6.254870707668746,61.631052631578946
2006-03-01,THA,Thailand,228622350260.5263,90.92387719790574,37.321349449897134,6.2359341307870215,62.68521739130435
2006-04-01,THA,Thailand,232054377379.979,91.09308637767288,37.041032564077554,6.216997553905298,69.44368421052631
2006-05-01,THA,Thailand,235486404499.43167,91.26229555744,36.76071567825797,6.198060977023573,70.84409090909091
2006-06-01,THA,Thailand,238918431618.8843,91.43150473720712,36.480398792438386,6.179124400141849,70.9509090909091
2006-07-01,THA,Thailand,242350458738.337,91.60071391697426,36.200081906618806,6.1601878232601255,74.41105263157894
2006-08-01,THA,Thailand,245782485857.78967,91.76992309674138,35.91976502079922,6.141251246378401,73.04304347826087
2006-09-01,THA,Thailand,249214512977.2423,91.9391322765085,35.63944813497964,6.122314669496677,63.798
2006-10-01,THA,Thailand,252646540096.695,92.10834145627562,35.35913124916005,6.103378092614952,58.89318181818182
2006-11-01,THA,Thailand,256078567216.14767,92.27755063604276,35.07881436334047,6.084441515733229,59.0825
2006-12-01,THA,Thailand,259510594335.6003,92.44675981580988,34.79849747752088,6.065504938851504,61.959
2007-01-01,THA,Thailand,262942621455.053,92.615968995577,34.5181805917013,6.04656836196978,54.50619047619048
2007-02-01,THA,Thailand,265312651536.37784,93.03802687362727,34.417773929162344,6.027845014544084,59.27894736842105
2007-03-01,THA,Thailand,267682681617.70267,93.46008475167756,34.317367266623386,6.0091216671183885,60.441818181818185
2007-04-01,THA,Thailand,270052711699.0275,93.88214262972784,34.21696060408443,5.990398319692693,63.977
2007-05-01,THA,Thailand,272422741780.35233,94.30420050777812,34.11655394154547,5.971674972266997,63.45454545454545
2007-06-01,THA,Thailand,274792771861.67715,94.72625838582842,34.01614727900651,5.952951624841301,67.48904761904762
2007-07-01,THA,Thailand,277162801943.002,95.14831626387873,33.91574061646755,5.934228277415605,74.11761904761904
2007-08-01,THA,Thailand,279532832024.32684,95.570374141929,33.815333953928594,5.915504929989909,72.35608695652174
2007-09-01,THA,Thailand,281902862105.6517,95.99243201997928,33.714927291389635,5.896781582564214,79.91473684210526
2007-10-01,THA,Thailand,284272892186.9765,96.41448989802956,33.61452062885068,5.878058235138518,85.7986956521739
2007-11-01,THA,Thailand,286642922268.30133,96.83654777607984,33.51411396631172,5.859334887712822,94.77238095238096
2007-12-01,THA,Thailand,289012952349.62616,97.25860565413012,33.41370730377276,5.840611540287126,91.687
2008-01-01,THA,Thailand,291382982430.951,97.6806635321804,33.3133006412338,5.82188819286143,92.9704761904762
2008-02-01,THA,Thailand,290576953077.315,97.61182177463262,33.39434009808299,5.734730638510524,95.386
2008-03-01,THA,Thailand,289770923723.67896,97.54298001708484,33.47537955493218,5.647573084159618,105.454
2008-04-01,THA,Thailand,288964894370.04297,97.47413825953706,33.55641901178137,5.560415529808713,112.58045454545454
2008-05-01,THA,Thailand,288158865016.407,97.40529650198928,33.63745846863057,5.473257975457807,125.39761904761905
2008-06-01,THA,Thailand,287352835662.771,97.33645474444148,33.71849792547976,5.386100421106901,133.88
2008-07-01,THA,Thailand,286546806309.135,97.26761298689372,33.79953738232895,5.298942866755995,133.3709090909091
2008-08-01,THA,Thailand,285740776955.49896,97.19877122934592,33.88057683917814,5.211785312405089,116.66619047619048
2008-09-01,THA,Thailand,284934747601.863,97.12992947179814,33.96161629602733,5.124627758054183,104.11428571428571
2008-10-01,THA,Thailand,284128718248.227,97.06108771425036,34.04265575287653,5.037470203703277,76.6086956521739
2008-11-01,THA,Thailand,283322688894.59094,96.99224595670256,34.12369520972572,4.950312649352372,57.30947368421053
2008-12-01,THA,Thailand,282516659540.95496,96.9234041991548,34.20473466657491,4.863155095001466,41.121818181818185
2009-01-01,THA,Thailand,281710630187.319,96.854562441607,34.2857741234241,4.77599754065056,41.71
2009-02-01,THA,Thailand,286660141532.4732,97.11668223813976,34.06910169647209,4.739167738837825,39.08736842105263
2009-03-01,THA,Thailand,291609652877.62744,97.3788020346725,33.85242926952008,4.70233793702509,47.939090909090915
2009-04-01,THA,Thailand,296559164222.78174,97.64092183120523,33.63575684256807,4.665508135212355,49.64666666666666
