date,ln_WTI,ln_GDP,ln_CPI,Interest,ln_FX
2006-03-31,4.147037535341369,26.15533735369646,4.508158751289401,6.254870707668746,3.6270298411308026
2006-06-30,4.254328633813073,26.19938804032758,4.513736583325866,6.198060977023573,3.6044103831948693
2006-09-30,4.252125077882706,26.241579860435365,4.51928347557834,6.141251246378402,3.5812674003909577
2006-12-31,4.0937109911994005,26.282063364675068,4.524799769395998,6.084441515733229,3.557576082496535
2007-03-31,4.060749908400979,26.31306809213274,4.533001440976478,6.027845014544084,3.538570278057065
2007-06-30,4.173604266983575,26.33928309367966,4.546519055989444,5.971674972266997,3.5297798321365463
2007-09-30,4.322737712142993,26.36482838792608,4.559856377113484,5.91550492998991,3.5209114280327114
2007-12-31,4.5072874778066465,26.38973734187333,4.573018150587322,5.859334887712822,3.5119636706090342
2008-03-31,4.582829546156898,26.39235652958295,4.58099844502665,5.734730638510524,3.5083844644499713
2008-06-30,4.8173672116870785,26.383976690175015,4.578880421539247,5.473257975457808,3.515638346619369
2008-09-30,4.765980005994403,26.37552603521775,4.576757902503492,5.211785312405089,3.522839988497583
2008-12-31,4.034571790692549,26.36700335762053,4.574630868794994,4.950312649352372,3.5299901371484643
2009-03-31,3.7554905101497105,26.39868193967989,4.575910737014919,4.739167738837825,3.528377382322996
2009-06-30,4.075434599566485,26.448347161851995,4.583975228381408,4.62867833339962,3.5091131142989895
2009-09-30,4.221524384436404,26.49566202083436,4.591975203363535,4.518188927961415,3.4894704216372823
2009-12-31,4.331319755943151,26.540838958593692,4.599911686048187,4.40769952252321,3.4694341380300187
2010-03-31,4.364550781974199,26.569869613453015,4.608335814783217,4.395167226770618,3.452717241806729
2010-06-30,4.352282295750297,26.59110855351761,4.617782962077357,4.578549150389253,3.4432221397313625
2010-09-30,4.331407438767767,26.61190576656158,4.62714169481437,4.761931074007888,3.4336360151201695
2010-12-31,4.443169569779935,26.63227925290837,4.636413652591339,4.945312997626523,3.423957105924206
2011-03-31,4.535924521641121,26.65092582612067,4.64505782668737,5.077546487803519,3.4190696073572617
2011-06-30,4.62581710571948,26.668582339732385,4.652548095327255,5.107483111097239,3.4238986274328145
2011-09-30,4.4949139862660346,26.6859325021447,4.659982676469027,5.13741973439096,3.428704440057944
2011-12-31,4.541715798959849,26.702986763064057,4.6673623920427305,5.167356357684681,3.4334872672287093
2012-03-31,4.633266083304746,26.71811019978102,4.674072083914599,5.1767407310442595,3.4357057831047064
